Restaurant,Mon,Tue,Wed,Thu,Fri,Sat,Sun
2G Japanese Brasserie,"[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1380]]","[[660, 1380]]","[[660, 1320]]"
Restaurant Lulu,"[[690, 1260]]","[[690, 1260]]","[[690, 1260]]","[[690, 1260]]","[[690, 1320]]","[[690, 1320]]","[[690, 1260]]"
Sudachi,"[[1020, 1440]]","[[0, 30], [1020, 1440]]","[[0, 30], [1020, 1440]]","[[0, 30], [1020, 1440]]","[[0, 90], [1020, 1440]]","[[0, 90], [900, 1440]]","[[0, 90], [900, 1410]]"
Hanuri,"[[660, 1440], [0, 0]]","[[0, 0], [660, 1440]]","[[0, 0], [660, 1440]]","[[0, 0], [660, 1440]]","[[0, 0], [660, 1440]]","[[0, 0], [660, 1440]]","[[0, 0], [660, 1440]]"
Herbivore,"[[540, 1320]]","[[540, 1320]]","[[540, 1320]]","[[540, 1320]]","[[540, 1380]]","[[540, 1380]]","[[540, 1320]]"
Penang Garden,"[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[600, 1350]]","[[600, 1350]]","[[660, 1380]]"
John's Grill,"[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[720, 1320]]"
Quan Bac,"[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]"
Bamboo Restaurant,"[[660, 1440], [0, 0]]","[[0, 0], [660, 1440]]","[[0, 0], [660, 1440]]","[[0, 0], [660, 1440]]","[[0, 0], [660, 1440]]","[[0, 0], [660, 1440]]","[[0, 0], [720, 1440]]"
Burger Bar,"[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1440]]","[[0, 0], [660, 1440]]","[[660, 1320], [0, 0]]"
Blu Restaurant,"[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[420, 900]]","[[420, 900]]"
Naan 'N' Curry,"[[660, 1440], [0, 240]]","[[0, 240], [660, 1440]]","[[0, 240], [660, 1440]]","[[0, 240], [660, 1440]]","[[0, 240], [660, 1440]]","[[0, 240], [660, 1440]]","[[0, 240], [660, 1440]]"
Shanghai China Restaurant,"[[660, 1290]]","[[660, 1290]]","[[660, 1290]]","[[660, 1290]]","[[660, 1290]]","[[660, 1290]]","[[660, 1290]]"
Tres,"[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1380]]","[[690, 1380]]","[[690, 1320]]"
Isobune Sushi,"[[690, 1290]]","[[690, 1290]]","[[690, 1290]]","[[690, 1290]]","[[690, 1290]]","[[690, 1290]]","[[690, 1290]]"
Viva Pizza Restaurant,"[[660, 1440], [0, 0]]","[[0, 0], [660, 1440]]","[[0, 0], [660, 1440]]","[[0, 0], [660, 1440]]","[[0, 0], [660, 1440]]","[[0, 0], [660, 1440]]","[[0, 0], [660, 1440]]"
Far East Cafe,"[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]"
Parallel 37,"[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]"
Bai Thong Thai Cuisine,"[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1320]]"
Alhamra,"[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]"
A-1 Cafe Restaurant,"[[660, 1320]]",[],"[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]"
Nick's Lighthouse,"[[660, 1350]]","[[660, 1350]]","[[660, 1350]]","[[660, 1350]]","[[660, 1350]]","[[660, 1350]]","[[660, 1350]]"
Paragon Restaurant & Bar,"[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[1050, 1320]]",[]
Chili Lemon Garlic,"[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[1020, 1320]]","[[1020, 1320]]"
Bow Hon Restaurant,"[[660, 1350]]","[[660, 1350]]","[[660, 1350]]","[[660, 1350]]","[[660, 1350]]","[[660, 1350]]","[[660, 1350]]"
San Dong House,"[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]"
Thai Stick Restaurant,"[[660, 1440], [0, 60]]","[[0, 60], [660, 1440]]","[[0, 60], [660, 1440]]","[[0, 60], [660, 1440]]","[[0, 60], [660, 1440]]","[[0, 60], [660, 1440]]","[[0, 60], [660, 1440]]"
Cesario's,"[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1350]]","[[690, 1350]]","[[690, 1320]]"
Colombini Italian Cafe Bistro,"[[720, 1320]]","[[720, 1320]]","[[720, 1320]]","[[720, 1320]]","[[720, 1320]]","[[1020, 1320]]","[[1020, 1320]]"
Sabella & La Torre,"[[600, 1350]]","[[600, 1350]]","[[600, 1350]]","[[600, 1350]]","[[600, 1440]]","[[0, 30], [600, 1440]]","[[600, 1350], [0, 30]]"
Soluna Cafe and Lounge,"[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[1020, 1320]]",[]
Tong Palace,"[[540, 1290]]","[[540, 1290]]","[[540, 1290]]","[[540, 1290]]","[[540, 1290]]","[[540, 1320]]","[[540, 1320]]"
India Garden Restaurant,"[[600, 1380]]","[[600, 1380]]","[[600, 1380]]","[[600, 1380]]","[[600, 1380]]","[[600, 1380]]","[[600, 1380]]"
Sapporo-Ya Japanese Restaurant,"[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1350]]"
Santorini's Mediterranean Cuisine,"[[480, 1350]]","[[480, 1350]]","[[480, 1350]]","[[480, 1350]]","[[480, 1350]]","[[480, 1350]]","[[480, 1350]]"
Kyoto Sushi,"[[660, 1350]]","[[660, 1350]]","[[660, 1350]]","[[660, 1350]]","[[660, 1380]]","[[690, 1380]]","[[990, 1350]]"
Marrakech Moroccan Restaurant,"[[1050, 1440], [0, 120]]","[[0, 120], [1050, 1440]]","[[0, 120], [1050, 1440]]","[[0, 120], [1050, 1440]]","[[0, 120], [1050, 1440]]","[[0, 120], [1050, 1440]]","[[0, 120], [1050, 1440]]"
Parallel 37,"[[1020, 1095]]","[[735, 735]]","[[795, 1065]]","[[600, 900]]","[[1020, 1095]]","[[600, 900]]","[[390, 765]]"
Starbelly,[],[],"[[390, 840]]","[[645, 1320]]","[[465, 1110]]","[[480, 780]]","[[645, 1320]]"
Brass Tacks,"[[480, 1350], [0, 135]]","[[810, 1440]]","[[0, 195], [465, 735]]","[[825, 1440]]","[[0, 135], [465, 825]]","[[735, 945]]","[[300, 1440]]"
Lord Stanley,"[[1065, 1380]]","[[615, 1365]]","[[660, 1335]]","[[675, 1440]]","[[1065, 1380], [0, 90]]","[[1065, 1440]]","[[0, 225]]"
Top of the Mark,"[[1020, 1080]]","[[525, 990]]","[[675, 1440]]","[[1020, 1080], [0, 195]]","[[750, 1320]]","[[795, 1425]]","[[1035, 1305]]"
Pier 23,"[[420, 960]]","[[495, 720]]","[[600, 1425]]","[[420, 960]]","[[645, 1275]]","[[630, 690]]","[[555, 630]]"
Plumed Horse,"[[705, 1275]]","[[465, 750]]",[],"[[465, 945]]","[[420, 1440]]","[[0, 225], [360, 930]]","[[465, 945]]"
Everest,"[[330, 1440]]","[[0, 210], [810, 960]]","[[330, 1440]]","[[0, 210], [900, 1440]]","[[0, 735], [780, 840]]","[[465, 720]]","[[675, 1185]]"
The Aviary,"[[645, 1020], [0, 120]]","[[420, 1365]]","[[765, 1440]]","[[0, 105], [1005, 1440]]","[[0, 765], [690, 1305]]","[[495, 1335]]","[[465, 1440]]"
Rebar,"[[945, 1110]]",[],[],"[[1035, 1335]]","[[990, 1260]]","[[945, 1110]]","[[555, 870]]"
Proxi,"[[1065, 1440]]","[[0, 60], [1005, 1440]]","[[0, 765], [585, 675]]","[[1005, 1440]]","[[0, 765], [585, 675]]","[[420, 645]]","[[375, 795]]"
The Rosebud,"[[690, 990]]","[[720, 1005]]","[[810, 1440]]","[[0, 90], [420, 735]]","[[555, 1035]]","[[780, 1080]]","[[585, 765]]"
The Signature Room,"[[690, 1440], [0, 735]]","[[0, 60]]","[[300, 675]]","[[735, 1140]]","[[300, 675]]","[[315, 1140]]","[[915, 1440]]"
Goosefoot,"[[570, 900]]","[[840, 1230]]","[[990, 1050]]","[[570, 900]]","[[990, 1050]]","[[975, 1275]]","[[1020, 1335]]"
Catch 35,"[[0, 150]]","[[990, 1395]]",[],"[[615, 1020]]","[[315, 1230]]",[],"[[600, 1440]]"
Gemini,[],"[[300, 1440]]","[[0, 225], [660, 1440]]","[[300, 1440], [0, 165]]","[[0, 225], [825, 1440]]","[[660, 1440], [0, 765]]","[[0, 165], [825, 1245]]"
Blue Plate,"[[975, 1290]]","[[630, 705]]",[],"[[615, 720]]","[[615, 1305]]","[[1020, 1080]]",[]
Bones,"[[810, 1410]]","[[675, 1365]]","[[375, 750]]","[[900, 1080]]","[[375, 750]]","[[900, 1080]]","[[690, 795]]"
Burger & Beer Joint,[],"[[900, 1440]]","[[0, 120]]","[[840, 1395]]",[],"[[315, 420]]","[[465, 1290]]"
Catch of the Day,"[[600, 735]]","[[915, 975]]","[[465, 840]]",[],"[[990, 1440]]","[[0, 120], [495, 1440]]","[[0, 90], [735, 1335]]"
CRUST,[],"[[645, 660]]",[],"[[735, 1440]]","[[0, 105], [690, 1380]]",[],"[[1050, 1395]]"
Daily Grill,"[[0, 750]]","[[465, 765]]","[[630, 720]]","[[465, 765]]","[[555, 1035]]","[[480, 690]]","[[900, 1440]]"
Full Moon,"[[780, 1095]]","[[630, 795]]","[[405, 465]]","[[780, 1095]]",[],"[[795, 990]]","[[795, 1230]]"
Garage Kitchen + Bar,"[[990, 1350]]","[[435, 780]]","[[990, 1350]]","[[1005, 1230]]","[[1065, 1440]]","[[0, 60], [885, 1440]]","[[435, 780], [0, 60]]"
Grubstake,"[[705, 1395]]","[[870, 1440]]","[[0, 735], [990, 1440]]","[[0, 765], [315, 1440]]","[[705, 1395], [0, 165]]","[[315, 1440]]","[[0, 165], [525, 1080]]"
Harvest Beat,"[[750, 840]]","[[1050, 1440]]","[[0, 120], [585, 930]]","[[435, 1440]]","[[0, 180], [675, 855]]","[[810, 1245]]","[[585, 930]]"
Hot & Crusty,"[[600, 1305]]","[[690, 750]]","[[960, 1245]]","[[795, 855]]","[[630, 945]]","[[690, 825]]","[[435, 900]]"
King and Queen,[],"[[690, 960]]","[[660, 1440]]","[[0, 120], [705, 900]]","[[855, 1440]]","[[0, 135], [1065, 1230]]","[[555, 1290]]"
Lazy Bear,"[[600, 660], [0, 180]]",[],"[[795, 885]]","[[765, 1035]]","[[795, 885]]","[[540, 870]]","[[1050, 1440]]"
Mad for Chicken,"[[0, 195]]","[[930, 1140]]",[],"[[930, 1140]]","[[900, 1440]]","[[0, 720]]","[[945, 1440]]"
Nightbird,"[[960, 1440], [0, 765]]","[[0, 180], [915, 1440]]","[[960, 1440], [0, 765]]","[[0, 180], [525, 540]]","[[570, 1440]]","[[0, 135], [1035, 1440]]","[[915, 1440], [0, 150]]"
Outlier,"[[390, 1440]]","[[0, 195], [570, 660]]",[],"[[570, 660]]",[],"[[330, 1425]]","[[570, 1170]]"
Rusty Pelican,"[[615, 1170], [0, 150]]","[[855, 1320]]","[[705, 795]]","[[540, 750]]",[],"[[300, 735]]","[[375, 1440]]"
Sea Spice,"[[1065, 1440]]","[[0, 105], [435, 795]]","[[1065, 1440]]","[[0, 105], [660, 1440]]","[[1065, 1440], [0, 75]]","[[0, 105], [870, 900]]","[[795, 1320]]"
Stateside,"[[315, 435]]","[[300, 525]]","[[315, 435]]","[[885, 1380]]","[[540, 1155]]","[[525, 1380]]",[]
The Capital Grille,[],"[[465, 675]]",[],"[[435, 855]]","[[525, 1440]]","[[0, 90]]","[[855, 1275]]"
The Deck,"[[615, 1185]]","[[915, 1350]]","[[825, 1005]]","[[615, 1185]]","[[825, 1005]]","[[615, 735]]","[[915, 1350]]"
The Local Eatery,"[[0, 120]]","[[615, 840]]",[],"[[420, 945]]","[[960, 1440]]","[[0, 120], [1035, 1440]]","[[960, 1440], [0, 735]]"
The Red Door,[],[],"[[495, 630]]","[[915, 1440]]","[[495, 630], [0, 735]]","[[915, 1140]]",[]
Tower 23 Hotel,"[[0, 90]]",[],"[[1065, 1410]]","[[945, 1125]]","[[480, 975]]","[[450, 600]]","[[975, 1440]]"
Waterbar Restaurant,"[[795, 1305]]","[[960, 1110]]",[],"[[750, 1335]]","[[960, 1440]]","[[795, 1305], [0, 135]]","[[690, 1215]]"
Wise Sons,"[[885, 1365]]","[[645, 1425]]","[[555, 825]]","[[885, 1365]]","[[405, 1305]]","[[885, 1365]]","[[765, 1320]]"
5 Spot,[],"[[870, 1440]]","[[0, 195], [840, 1440]]","[[0, 180], [450, 735]]","[[840, 1440]]","[[0, 165], [315, 1440]]","[[450, 735], [0, 225]]"
A Salt & Battery,"[[825, 1170]]","[[705, 810]]","[[960, 1260]]","[[705, 810]]","[[990, 1260]]","[[315, 480]]","[[900, 1185]]"
Brewed Awakening,"[[330, 1035]]","[[810, 1305]]","[[1035, 1350]]","[[330, 1035]]","[[1020, 1440]]","[[0, 135], [555, 1440]]","[[1035, 1350], [0, 75]]"
Chart House,"[[765, 900]]",[],"[[1065, 1080]]","[[750, 1440]]","[[765, 900], [0, 60]]","[[750, 1440]]","[[0, 210], [765, 1185]]"
Crest Cafe,"[[1035, 1080]]",[],"[[735, 1230]]",[],"[[1065, 1290]]","[[1005, 1110]]","[[1065, 1290]]"
Double Decker,"[[435, 1215]]","[[885, 1065]]","[[735, 855]]","[[435, 1215]]","[[300, 600]]","[[435, 1215]]","[[630, 720]]"
EPIC Steak,"[[360, 1365]]",[],[],"[[615, 870]]","[[420, 1320]]","[[705, 1440]]","[[0, 135], [1050, 1080]]"
Foxsister,"[[1020, 1440]]","[[0, 720]]","[[930, 1230]]","[[1065, 1440]]","[[0, 75], [390, 1230]]","[[930, 1230]]","[[645, 840]]"
Golden Era,"[[435, 1170], [0, 75]]","[[810, 975]]","[[705, 1215]]","[[435, 885]]","[[585, 1440]]","[[435, 1170], [0, 75]]","[[585, 1440]]"
Halls Chophouse,"[[390, 675]]","[[435, 915]]","[[795, 1185]]","[[435, 915]]","[[1065, 1140]]","[[795, 1185]]","[[735, 1425]]"
Heirloom Cafe,[],"[[555, 1335]]","[[720, 855]]","[[555, 1335]]","[[915, 1035]]","[[750, 1440]]","[[0, 720], [855, 1050]]"
Lattetude,"[[945, 1335]]",[],"[[810, 1440]]","[[0, 765], [300, 960]]","[[810, 1440]]","[[945, 1335], [0, 765]]","[[720, 1005]]"
Level III Restaurant,[],"[[570, 645]]","[[315, 960]]","[[570, 645]]","[[825, 1020]]","[[390, 975]]",[]
Mama’s Fish House,"[[435, 570]]","[[855, 1380]]","[[330, 405]]","[[870, 1185]]","[[405, 600]]","[[435, 1380]]","[[975, 1365]]"
Nin Com Soup,"[[810, 1320]]","[[390, 1440]]","[[810, 1320], [0, 150]]","[[570, 1275]]","[[795, 1215]]","[[375, 900]]","[[1020, 1155]]"
Ozone,"[[840, 1440]]","[[0, 210], [840, 1110]]","[[300, 900]]","[[840, 1440]]","[[0, 210], [630, 1260]]","[[900, 1410]]",[]
Rooftoop at E11EVEN,"[[315, 990]]","[[720, 1080]]","[[780, 915]]","[[450, 1425]]","[[600, 1350]]","[[435, 945]]","[[720, 1080]]"
Skillet Counter,"[[555, 855]]","[[1050, 1260]]","[[840, 1440]]","[[1050, 1260], [0, 90]]","[[975, 1440]]","[[0, 105]]","[[570, 1215]]"
Stoneburner,"[[750, 1335]]",[],"[[660, 915]]","[[405, 450]]","[[660, 915]]","[[405, 450]]","[[660, 915]]"
Street Taco,"[[345, 1440]]","[[0, 90], [345, 660]]","[[540, 930]]","[[1020, 1125]]","[[540, 930]]","[[420, 945]]","[[1020, 1125]]"
The Egg & Us,"[[570, 915]]","[[825, 1035]]",[],"[[840, 1200]]","[[570, 1395]]","[[945, 1155]]","[[840, 1200]]"
The Incredible Cafe,"[[405, 840]]","[[510, 1440]]","[[0, 195], [930, 1440]]","[[0, 120], [465, 495]]","[[435, 855]]","[[825, 1440]]","[[0, 165], [795, 1305]]"
The River Seafood,"[[495, 615], [0, 165]]",[],"[[570, 765]]","[[495, 615]]","[[645, 1440]]","[[0, 210]]","[[795, 1440]]"
Townsend,"[[405, 1440]]","[[0, 180], [375, 945]]","[[300, 1440]]","[[0, 120], [945, 1440]]","[[405, 1440], [0, 120]]","[[0, 180], [960, 1440]]","[[0, 750], [660, 765]]"
Upland,"[[930, 1440]]","[[0, 60]]","[[540, 870]]","[[930, 1440]]","[[0, 60], [375, 615]]",[],"[[390, 1125]]"
Urban Remedy,"[[735, 1425]]","[[705, 720]]",[],"[[585, 795]]","[[390, 1380]]","[[960, 1125]]","[[660, 945]]"
Zero Restaurant,[],"[[825, 1020]]","[[555, 1230]]",[],"[[690, 1305]]","[[555, 1065]]","[[345, 465]]"
750 Restaurant,"[[600, 1185]]",[],"[[945, 1020]]","[[795, 1185]]","[[315, 1005]]","[[735, 1275]]","[[795, 1200]]"
Bean Around the World Coffees,"[[360, 675]]","[[1020, 1245]]","[[360, 675]]","[[480, 1200]]","[[915, 1440]]","[[480, 1200], [0, 105]]","[[630, 735]]"
Blackbrick,"[[315, 1275]]","[[345, 375]]","[[990, 1350]]","[[345, 375]]","[[750, 885]]","[[345, 375]]","[[750, 885]]"
Cafe Coyote,"[[375, 780], [0, 180]]","[[720, 1020]]","[[435, 795]]","[[435, 525]]","[[690, 1395]]","[[765, 1215]]","[[885, 1440]]"
Chewy Balls,"[[1020, 1440]]","[[0, 735]]","[[660, 1290]]",[],"[[345, 645]]","[[900, 1275]]","[[630, 870]]"
Crab Hut,"[[1050, 1110]]",[],[],"[[615, 1335]]",[],"[[675, 1275]]","[[360, 945]]"
Double Knot,"[[315, 390]]","[[690, 780]]","[[885, 1395]]","[[810, 1110]]","[[315, 390]]","[[315, 1005]]","[[810, 1110]]"
Famous Lunch,[],"[[930, 1185]]","[[1035, 1440]]","[[0, 750], [840, 930]]","[[345, 1335]]","[[930, 1185]]","[[735, 1335]]"
Fog Harbor Fish House,"[[615, 1440]]","[[0, 225], [1065, 1395]]","[[330, 615]]","[[690, 1440]]","[[0, 210], [570, 960]]","[[735, 1440]]","[[570, 960], [0, 210]]"
Gaslamp Fish House,"[[945, 1440]]","[[0, 195], [495, 1170]]",[],"[[1050, 1140]]","[[810, 1395]]","[[705, 1110]]","[[1035, 1170]]"
Hereford Grill,[],"[[615, 1260]]","[[720, 855]]","[[615, 1260]]","[[540, 1095]]","[[765, 1440]]","[[540, 1095], [0, 60]]"
Hungry’s Kitchen & Tap,[],"[[315, 1065]]","[[750, 930]]",[],"[[1035, 1440]]","[[0, 720], [780, 1425]]","[[465, 1005]]"
King Lee’s,"[[345, 975]]","[[600, 1395]]","[[360, 525]]","[[420, 1020]]","[[345, 975]]","[[600, 1395]]","[[1050, 1110]]"
Like No Udder,"[[930, 1125]]","[[630, 945]]","[[930, 1125]]",[],"[[810, 1005]]","[[885, 900]]","[[330, 840]]"
Marina Kitchen,"[[0, 210]]","[[465, 945]]","[[1050, 1440]]","[[465, 945], [0, 210]]","[[1020, 1440]]","[[0, 90], [390, 870]]","[[1050, 1440]]"
Munch Box,"[[510, 1380]]","[[900, 1350]]","[[510, 1380]]","[[900, 1350]]","[[570, 1005]]","[[930, 1290]]","[[525, 1335]]"
My Dung,"[[915, 1440]]","[[0, 225], [840, 945]]","[[720, 1140]]","[[615, 1185]]","[[840, 1185]]","[[915, 1440]]","[[0, 765], [1005, 1425]]"
North Beach Restaurant,"[[570, 735]]","[[330, 1050]]","[[780, 1290]]","[[855, 1350]]","[[570, 735]]","[[510, 1125]]","[[330, 1050]]"
Opera Cafe,"[[360, 1005]]","[[570, 1185]]","[[435, 735]]","[[450, 525]]","[[675, 1275]]","[[570, 1185]]","[[450, 525]]"
Queenstown Public House,"[[855, 1440]]","[[0, 195], [510, 1170]]","[[855, 1440]]","[[0, 195], [315, 450]]","[[555, 1440]]","[[0, 120]]","[[675, 1125]]"
Rocco’s Cafe,"[[1035, 1440]]","[[0, 150], [645, 1440]]","[[0, 180]]","[[525, 1320]]","[[585, 1425]]","[[1035, 1440]]","[[0, 150], [1050, 1185]]"
Six Seven Restaurant,[],"[[765, 1440]]","[[0, 735], [690, 1185]]","[[780, 1410]]","[[510, 735]]","[[690, 1185]]","[[780, 1410]]"
Stomach Clinic Railways Restaurant,"[[915, 1350], [0, 750]]","[[540, 780]]","[[900, 1425]]","[[480, 690]]","[[540, 780]]","[[960, 1155]]","[[915, 1440]]"
The Fishery,"[[0, 735]]","[[765, 780]]","[[1005, 1050]]","[[960, 1035]]","[[855, 1110]]","[[960, 1035]]","[[855, 1440]]"
The Local House,[],"[[615, 780]]","[[375, 1170]]","[[765, 1320]]",[],"[[555, 1440]]","[[0, 75], [420, 975]]"
The Table at Season To Taste,"[[480, 1425]]","[[465, 1185]]","[[600, 720]]","[[315, 1065]]","[[1065, 1440]]","[[0, 165], [750, 1095]]","[[660, 1065]]"
True Food Kitchen,[],"[[675, 1440]]","[[0, 75], [1035, 1440]]","[[0, 90], [855, 1005]]","[[1050, 1440]]","[[675, 1440], [0, 120]]","[[0, 75], [855, 1005]]"
Zero Zero,"[[0, 75]]","[[1065, 1245]]","[[540, 660]]","[[525, 675]]","[[945, 1245]]","[[540, 660]]","[[690, 1440]]"
Award Wieners,"[[825, 1380]]",[],"[[555, 990]]","[[720, 855]]","[[480, 1410]]",[],"[[405, 570]]"
Beaver Choice,[],[],"[[1035, 1200]]","[[405, 600]]","[[600, 1200]]","[[810, 1005]]","[[390, 1230]]"
Blue Collar,"[[0, 90]]",[],"[[960, 1155]]","[[765, 1440]]","[[0, 150]]","[[675, 1140]]","[[825, 1440]]"
Butty Boys,[],"[[960, 1425]]","[[720, 1050]]","[[1020, 1380]]","[[855, 1215]]","[[945, 1440]]","[[0, 750], [705, 825]]"
California Pizza Kitchen,"[[720, 825]]","[[330, 675]]","[[750, 1035]]","[[345, 1290]]","[[1005, 1440]]","[[750, 1035], [0, 180]]",[]
Chez Billy Sud,"[[1020, 1380]]",[],[],"[[1035, 1440]]","[[0, 720]]","[[795, 960]]","[[435, 945]]"
Conch it Up Soul Food,"[[1005, 1335]]","[[990, 1440]]","[[0, 195], [975, 1440]]","[[0, 750]]","[[750, 1395]]","[[975, 1440]]","[[0, 750], [1065, 1395]]"
Filled of Dreams,"[[810, 1440], [0, 135]]","[[0, 750]]","[[855, 1050]]",[],"[[1050, 1200]]","[[705, 1185]]","[[990, 1440]]"
Fishing With Dynamite,[],"[[390, 435]]","[[405, 450]]","[[525, 1440]]","[[405, 450], [0, 60]]","[[585, 1020]]","[[1005, 1020]]"
Golden Greek,[],"[[990, 1200]]","[[480, 1350]]","[[810, 1440]]","[[0, 135], [960, 1440]]","[[0, 750], [765, 1440]]","[[0, 720], [675, 915]]"
Heritage Restaurant & Caviar Bar,"[[345, 1365]]",[],"[[420, 750]]","[[720, 1050]]","[[345, 1365]]","[[960, 1380]]",[]
Indigo Grill,[],"[[720, 900]]","[[945, 1395]]","[[765, 1200]]","[[465, 1080]]","[[705, 870]]","[[990, 1200]]"
Kinship,"[[855, 1440]]","[[0, 75], [495, 1215]]","[[405, 420]]","[[780, 1095]]","[[930, 960]]","[[885, 1335]]","[[930, 960]]"
Le Parfait,"[[870, 930], [0, 195]]",[],"[[405, 1185]]","[[735, 1440]]","[[0, 105]]",[],"[[1020, 1440]]"
Little Star Pizza,"[[495, 645]]",[],"[[780, 1005]]","[[510, 765]]","[[615, 1185]]","[[690, 1350]]","[[315, 510]]"
Market Restaurant and Bar,[],"[[630, 1440]]","[[0, 90]]","[[525, 960]]","[[870, 1020]]","[[585, 705]]",[]
Momofuku Ko,"[[450, 795]]","[[780, 1155]]","[[945, 1440]]","[[0, 195], [840, 1095]]",[],"[[555, 630]]","[[885, 915]]"
Old Lisbon,"[[585, 960]]","[[615, 1155]]",[],[],"[[570, 1170]]","[[615, 1155]]","[[300, 1350]]"
Owen & Engine,"[[0, 765]]","[[855, 1440]]","[[0, 120], [615, 1440]]","[[0, 150], [840, 1440]]","[[0, 765], [870, 1440]]","[[855, 1440], [0, 750]]","[[0, 120], [840, 1440]]"
Pita Pan,"[[0, 75]]","[[855, 1440]]","[[0, 75]]","[[990, 1440]]","[[0, 165], [945, 1215]]","[[420, 870]]","[[690, 1440]]"
Quince,"[[675, 735]]","[[360, 825]]","[[750, 1440]]","[[0, 735], [960, 1425]]","[[360, 825]]","[[480, 750]]","[[960, 1425]]"
